"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","Year First Published","Crystal Systems","Space Groups","Oldest Known Age (Ma)","IMA Mineral Symbol","Paragenetic Modes"
"Adranosite","Adranosite","(N3-H4)4NaAl2(S6+O4)4Cl(OH)2","(NH4)4NaAl2(SO4)4Cl(OH)2","(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_","N H Na Al S O Cl","2008","tetragonal","I4_1/acd","326","Arn","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Adranosite-(Fe)","Adranosite-(Fe)","(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2","(NH4)4NaFe2(SO4)4Cl(OH)2","(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_","N H Na Fe S O Cl","2011","tetragonal","I4_1/acd","259.1","Arn-Fe","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Adrianite","Adrianite","Ca12(Al4Mg3Si7)O32Cl6","Ca12(Al4Mg3Si7)O32Cl6","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca Al Mg Si O Cl","2014","cubic","I-43d","4567.61","Adt","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Aegirine","Aegirine","NaFe3+Si2O6","NaFe3+Si2O6","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","Na Fe Si O","1835","monoclinic","C2/c","2613","Aeg","Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe Mg Si O","1892","monoclinic","C2/c","2680","Aeg-Aug","Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Aenigmatite","Aenigmatite","Na4(Fe2+10Ti4+2)O4[Si12O36]","Na4[Fe2+10Ti2]O4[Si12O36]","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na Fe Ti O Si","1865","triclinic","P-1","4567.61","Aen","Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
"Aerinite","Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","Ca Na Fe Mg Al Si O H C","1876","hexagonal","P3c1","287","Aer","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
"Aerugite","Aerugite","Ni2+8.5(As5+O4)2As5+O8","Ni8.5(AsO4)2As5+O8","Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_","Ni_8.5_(AsO_4_)_2_As^5+^O_8_","Ni As O","1858","hexagonal","R-3m","200","Aru","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","Ce Ca Fe Th Ti Nb O H","1830","orthorhombic","","1420","Aes-Ce","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_","Nd Ln Ca Ti Nb O H","1982","orthorhombic","Pbmn|Pncm","580","Aes-Nd","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","(Y,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","Y Ln Ca Th Ti Nb O H","1906","orthorhombic|amorphous","Pnma","2000","Aes-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites"
"Afghanite","Afghanite","Na22Ca10(Si24Al24)O96(S6+O4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","Na K Ca Si Al O S Cl","1967","hexagonal","P31c","1600","Afg","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Afmite","Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al O H P","2005","triclinic","P-1","975.3","Afm","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Afwillite","Afwillite","Ca3(SiO4)(SiO2(OH)2)·2H2O","Ca3[SiO4][SiO2(OH)2]·2H2O","Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O","Ca Si O H","1925","monoclinic|triclinic","Cc|P1","2400","Afw","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Agaite","Agaite","Pb2+3Cu2+Te6+O5(OH)2(CO3)","Pb3Cu2+Te6+O5(OH)2(CO3)","Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)","Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)","Pb Cu Te O H C","2011","orthorhombic","Pca2_1","946","Aga","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agakhanovite-(Y)","Agakhanovite-(Y)","YCa[box]2KBe3Si12O30","YCa[box]2KBe3Si12O30","YCa[box]_2_KBe_3_Si_12_O_30_","YCa[box]_2_KBe_3_Si_12_O_30_","Y Ca K Be Si O","2013","hexagonal","P6/mcc","967","Agk-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Agardite-(Ce)","Agardite-(Ce)","Cu2+6Ce3+(As5+O4)3(OH)6·3H2O","CeCu2+6(AsO4)3(OH)6·3H2O","Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Ce Cu As O H","2003","hexagonal","P6_3/m","541","Agr-Ce","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agardite-(La)","Agardite-(La)","Cu2+6La3+(As5+O4)3(OH)6·3H2O","LaCu2+6(AsO4)3(OH)6·3H2O","Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","LaCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","La Cu As O H","1980","hexagonal","P6_3/m","359","Agr-La","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agardite-(Nd)","Agardite-(Nd)","Cu2+6Nd3+(As5+O4)3(OH)6·3H2O","NdCu2+6(AsO4)3(OH)6·3H2O","Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","NdCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Nd Cu As O H","2010","hexagonal","P6_3/m","419","Agr-Nd","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agardite-(Y)","Agardite-(Y)","Cu2+6Y(As5+O4)3(OH)6·3H2O","YCu2+6(AsO4)3(OH)6·3H2O","Cu^2+^_6_Y(As^5+^O_4_)_3_(OH)_6_·3H_2_O","YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Y Cu As O H","1968","hexagonal","P6_3/m","1861","Agr-Y","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agmantinite","Agmantinite","Ag1+2Mn2+Sn4+S2-4","Ag2MnSnS4","Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_","Ag_2_MnSnS_4_","Ag Mn Sn S","2014","orthorhombic|monoclinic","Pn|P2_1nm","24.5","Agm","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Agrellite","Agrellite","NaCa2Si4O10F","NaCa2Si4O10F","NaCa_2_Si_4_O_10_F","NaCa_2_Si_4_O_10_F","Na Ca Si O F","1973","triclinic","P-1","1240","Are","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Agricolaite","Agricolaite","K4(U6+O2)(CO3)3","K4(UO2)(CO3)3","K_4_(U^6+^O_2_)(CO_3_)_3_","K_4_(UO_2_)(CO_3_)_3_","K U O C","2009","monoclinic","C2/c","543","Agc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agrinierite","Agrinierite","K2Ca[(U6+O2)3O3(OH)2]2·5H2O","K2Ca[(UO2)3O3(OH)2]2·5H2O","K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O","K_2_Ca[(UO_2_)_3_O_3_(OH)_2_]_2_·5H_2_O","K Ca U O H","1971","orthorhombic","F2mm","276","Agn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Aguilarite","Aguilarite","Ag1+4Se2-S2-","Ag4SeS","Ag^1+^_4_Se^2-^S^2-^","Ag_4_SeS","Ag Se S","1891","monoclinic|orthorhombic","P2_12_12_1|P2_1/n","2680","Agu","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Aheylite","Aheylite","Fe2+Al6(PO4)4(OH)8·4H2O","Fe2+Al6(PO4)4(OH)8·4H2O","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","Fe Al P O H","1984","triclinic","P-1","1790","Ahe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Ahlfeldite","Ahlfeldite","Ni2+Se4+O3·2H2O","Ni(SeO3)·2H2O","Ni^2+^Se^4+^O_3_·2H_2_O","Ni(SeO_3_)·2H_2_O","Ni Se O H","1935","monoclinic","P2_1/n","416","Afe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Ahrensite","Ahrensite","SiFe2+2O4","SiFe2O4","SiFe^2+^_2_O_4_","SiFe_2_O_4_","Si Fe O","2013","cubic","Fd-3m|Fd3m","","Ahr","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Aikinite","Aikinite","Cu1+Pb2+Bi3+S2-3","CuPbBiS3","Cu^1+^Pb^2+^Bi^3+^S^2-^_3_","CuPbBiS_3_","Cu Pb Bi S","1843","orthorhombic","Pnma","2710","Aik","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Aiolosite","Aiolosite","Na2(Na2Bi3+)(S6+O4)3Cl","Na2(Na2Bi)(SO4)3Cl","Na_2_(Na_2_Bi^3+^)(S^6+^O_4_)_3_Cl","Na_2_(Na_2_Bi)(SO_4_)_3_Cl","Na Bi S O Cl","2008","hexagonal","P6_3/m","","Aio","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Airdite","Airdite","Sr(V4+O)2(PO4)2·4H2O","Sr(V4+O)2(PO4)2·4H2O","Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O","Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O","Sr V O P H","2020","monoclinic","Cc","","Air","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Ajoite","Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","K3Cu2+20Al3Si29O76(OH)16·8H2O","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","K Cu Al Si O H","1958","triclinic","P-1","372","Aj","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Akaganeite","Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","Fe Ni O H Cl","1962","monoclinic|tetragonal","I2/m|I4/m, C2/m","2038","Akg","Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
"Akaogiite","Akaogiite","Ti4+O2","TiO2","Ti^4+^O_2_","TiO_2_","Ti O","2007","monoclinic","P2_1/c","","Aka","Abiotic; Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals"
